[2026-03-30T01:29:48.704Z] SERVER STARTING...
[2026-03-30T01:29:48.884Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T01:29:48.885Z] [Mount] User API Routes -> /api
[2026-03-30T04:59:53.590Z] SERVER STARTING...
[2026-03-30T04:59:53.716Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T04:59:53.716Z] [Mount] User API Routes -> /api
[2026-03-30T05:14:48.540Z] [REQUEST] GET /js/modules/state.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.542Z] [REQUEST] GET /js/modules/auth.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.544Z] [REQUEST] GET /js/modules/navigation.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.550Z] [REQUEST] GET /js/modules/wizard.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.552Z] [REQUEST] GET /js/modules/projects_list.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.554Z] [REQUEST] GET /js/modules/settings.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.556Z] [REQUEST] GET /js/modules/dashboard.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.557Z] [REQUEST] GET /js/modules/api.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.558Z] [REQUEST] GET /js/modules/script.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.565Z] [REQUEST] GET /js/modules/admin.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.567Z] [REQUEST] GET /js/modules/samples.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.570Z] [REQUEST] GET /assets/img/hero_premium.png | Auth: NO | Guest: NO
[2026-03-30T05:14:48.752Z] [REQUEST] GET /js/modules/constants.js | Auth: NO | Guest: NO
[2026-03-30T05:14:48.783Z] [REQUEST] GET /api/samples | Auth: NO | Guest: NO
[2026-03-30T05:14:51.727Z] [REQUEST] GET / | Auth: NO | Guest: NO
[2026-03-30T05:14:51.781Z] [REQUEST] GET /css/style.css | Auth: NO | Guest: NO
[2026-03-30T05:14:51.784Z] [REQUEST] GET /js/app.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.837Z] [REQUEST] GET /assets/img/hero_premium.png | Auth: NO | Guest: NO
[2026-03-30T05:14:51.893Z] [REQUEST] GET /js/modules/state.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.894Z] [REQUEST] GET /js/modules/auth.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.895Z] [REQUEST] GET /js/modules/navigation.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.896Z] [REQUEST] GET /js/modules/wizard.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.899Z] [REQUEST] GET /js/modules/projects_list.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.900Z] [REQUEST] GET /js/modules/settings.js | Auth: NO | Guest: NO
[2026-03-30T05:14:51.903Z] [REQUEST] GET /js/modules/dashboard.js | Auth: NO | Guest: NO
